N, Time Sparse, Converged, Eigenvalue
202500, 4.84e-02, 1, 1821019.704009
205000, 4.89e-02, 1, 1843505.584115
205000, 4.89e-02, 1, 1843505.584115
205000, 4.90e-02, 1, 1843505.584115
207500, 4.94e-02, 1, 1865991.466368
207500, 4.92e-02, 1, 1865991.466368
207500, 4.94e-02, 1, 1865991.466368
210000, 4.97e-02, 1, 1888477.350695
210000, 4.96e-02, 1, 1888477.350695
210000, 4.96e-02, 1, 1888477.350695
212500, 5.04e-02, 1, 1910963.237024
212500, 5.01e-02, 1, 1910963.237024
212500, 5.00e-02, 1, 1910963.237024
215000, 5.05e-02, 1, 1933449.125287
215000, 5.08e-02, 1, 1933449.125287
215000, 5.08e-02, 1, 1933449.125287
217500, 5.11e-02, 1, 1955935.015422
217500, 5.13e-02, 1, 1955935.015422
217500, 5.10e-02, 1, 1955935.015422
220000, 5.16e-02, 1, 1978420.907365
220000, 5.18e-02, 1, 1978420.907365
220000, 5.15e-02, 1, 1978420.907365
222500, 5.22e-02, 1, 2000906.801059
222500, 5.20e-02, 1, 2000906.801059
222500, 5.21e-02, 1, 2000906.801059
225000, 5.29e-02, 1, 2023392.696446
225000, 5.27e-02, 1, 2023392.696446
225000, 5.24e-02, 1, 2023392.696446
227500, 5.31e-02, 1, 2045878.593473
227500, 5.33e-02, 1, 2045878.593473
227500, 5.33e-02, 1, 2045878.593473
230000, 5.36e-02, 1, 2068364.492089
230000, 5.38e-02, 1, 2068364.492089
230000, 5.36e-02, 1, 2068364.492089
232500, 5.40e-02, 1, 2090850.392243
232500, 5.40e-02, 1, 2090850.392243
232500, 5.39e-02, 1, 2090850.392243
235000, 5.40e-02, 1, 2113336.293887
235000, 5.41e-02, 1, 2113336.293887
235000, 5.41e-02, 1, 2113336.293887
237500, 5.44e-02, 1, 2135822.196978
237500, 5.46e-02, 1, 2135822.196978
237500, 5.44e-02, 1, 2135822.196978
240000, 5.49e-02, 1, 2158308.101470
240000, 5.45e-02, 1, 2158308.101470
240000, 5.47e-02, 1, 2158308.101470
242500, 5.52e-02, 1, 2180794.007322
242500, 5.51e-02, 1, 2180794.007322
242500, 5.52e-02, 1, 2180794.007322
245000, 5.55e-02, 1, 2203279.914493
245000, 5.55e-02, 1, 2203279.914493
245000, 5.54e-02, 1, 2203279.914493
247500, 5.55e-02, 1, 2225765.822945
247500, 5.56e-02, 1, 2225765.822945
247500, 5.59e-02, 1, 2225765.822945
250000, 5.59e-02, 1, 2248251.732640
250000, 5.61e-02, 1, 2248251.732640
250000, 5.63e-02, 1, 2248251.732640
252500, 5.65e-02, 1, 2270737.643543
252500, 5.61e-02, 1, 2270737.643543
252500, 5.60e-02, 1, 2270737.643543
255000, 5.69e-02, 1, 2293223.555618
255000, 5.69e-02, 1, 2293223.555618
255000, 5.69e-02, 1, 2293223.555618
257500, 5.72e-02, 1, 2315709.468834
257500, 5.69e-02, 1, 2315709.468834
257500, 5.71e-02, 1, 2315709.468834
260000, 5.77e-02, 1, 2338195.383158
260000, 5.76e-02, 1, 2338195.383158
260000, 5.75e-02, 1, 2338195.383158
262500, 5.80e-02, 1, 2360681.298559
262500, 5.79e-02, 1, 2360681.298559
262500, 5.79e-02, 1, 2360681.298559
265000, 5.83e-02, 1, 2383167.215008
265000, 5.83e-02, 1, 2383167.215008
265000, 5.86e-02, 1, 2383167.215008
267500, 5.88e-02, 1, 2405653.132476
267500, 5.86e-02, 1, 2405653.132476
267500, 5.88e-02, 1, 2405653.132476
270000, 5.91e-02, 1, 2428139.050936
270000, 5.92e-02, 1, 2428139.050936
270000, 5.93e-02, 1, 2428139.050936
272500, 5.96e-02, 1, 2450624.970361
272500, 5.94e-02, 1, 2450624.970361
272500, 5.95e-02, 1, 2450624.970361
275000, 5.99e-02, 1, 2473110.890725
275000, 5.98e-02, 1, 2473110.890725
275000, 5.98e-02, 1, 2473110.890725
277500, 6.00e-02, 1, 2495596.812004
277500, 6.01e-02, 1, 2495596.812004
277500, 6.02e-02, 1, 2495596.812004
280000, 5.32e-02, 1, 2517880.319989
280000, 5.31e-02, 1, 2517880.319989
280000, 5.31e-02, 1, 2517880.319989
282500, 5.35e-02, 1, 2540364.256041
282500, 5.35e-02, 1, 2540364.256041
282500, 5.33e-02, 1, 2540364.256041
285000, 5.37e-02, 1, 2562848.192750
285000, 5.37e-02, 1, 2562848.192750
285000, 5.37e-02, 1, 2562848.192750
287500, 5.40e-02, 1, 2585332.130099
287500, 5.44e-02, 1, 2585332.130099
287500, 5.42e-02, 1, 2585332.130099
290000, 5.47e-02, 1, 2607816.068073
290000, 5.47e-02, 1, 2607816.068073
290000, 5.46e-02, 1, 2607816.068073
292500, 5.51e-02, 1, 2630300.006655
292500, 5.48e-02, 1, 2630300.006655
292500, 5.50e-02, 1, 2630300.006655
295000, 5.53e-02, 1, 2652783.945831
295000, 5.55e-02, 1, 2652783.945831
295000, 5.55e-02, 1, 2652783.945831
297500, 5.62e-02, 1, 2675267.885586
297500, 5.60e-02, 1, 2675267.885586
297500, 5.62e-02, 1, 2675267.885586
300000, 5.64e-02, 1, 2697751.825905
300000, 5.62e-02, 1, 2697751.825905
300000, 5.64e-02, 1, 2697751.825905
302500, 5.68e-02, 1, 2720235.766776
302500, 5.68e-02, 1, 2720235.766776
302500, 5.68e-02, 1, 2720235.766776
305000, 5.71e-02, 1, 2742719.708184
305000, 5.70e-02, 1, 2742719.708184
305000, 5.70e-02, 1, 2742719.708184
307500, 5.75e-02, 1, 2765203.650117
307500, 5.72e-02, 1, 2765203.650117
307500, 5.74e-02, 1, 2765203.650117
310000, 5.78e-02, 1, 2787687.592563
310000, 5.79e-02, 1, 2787687.592563
310000, 5.79e-02, 1, 2787687.592563
312500, 5.82e-02, 1, 2810171.535508
312500, 5.80e-02, 1, 2810171.535508
312500, 5.81e-02, 1, 2810171.535508
315000, 5.85e-02, 1, 2832655.478943
315000, 5.84e-02, 1, 2832655.478943
315000, 5.85e-02, 1, 2832655.478943
317500, 5.87e-02, 1, 2855139.422855
317500, 5.86e-02, 1, 2855139.422855
317500, 5.88e-02, 1, 2855139.422855
320000, 5.88e-02, 1, 2877623.367233
320000, 5.91e-02, 1, 2877623.367233
320000, 5.90e-02, 1, 2877623.367233
322500, 5.93e-02, 1, 2900107.312068
322500, 5.94e-02, 1, 2900107.312068
322500, 5.94e-02, 1, 2900107.312068
325000, 5.94e-02, 1, 2922591.257347
325000, 6.01e-02, 1, 2922591.257347
325000, 5.97e-02, 1, 2922591.257347
327500, 6.03e-02, 1, 2945075.203062
327500, 6.04e-02, 1, 2945075.203062
327500, 6.04e-02, 1, 2945075.203062
330000, 6.10e-02, 1, 2967559.149203
330000, 6.08e-02, 1, 2967559.149203
330000, 6.10e-02, 1, 2967559.149203
332500, 6.11e-02, 1, 2990043.095761
332500, 6.12e-02, 1, 2990043.095761
332500, 6.12e-02, 1, 2990043.095761
335000, 6.16e-02, 1, 3012527.042725
335000, 6.15e-02, 1, 3012527.042725
335000, 6.12e-02, 1, 3012527.042725
337500, 6.19e-02, 1, 3035010.990088
337500, 6.17e-02, 1, 3035010.990088
337500, 6.19e-02, 1, 3035010.990088
340000, 6.24e-02, 1, 3057494.937840
340000, 6.22e-02, 1, 3057494.937840
340000, 6.24e-02, 1, 3057494.937840
342500, 6.27e-02, 1, 3079978.885974
342500, 6.25e-02, 1, 3079978.885974
342500, 6.27e-02, 1, 3079978.885974
345000, 6.30e-02, 1, 3102462.834481
345000, 6.31e-02, 1, 3102462.834481
345000, 6.32e-02, 1, 3102462.834481
347500, 6.35e-02, 1, 3124946.783353
347500, 6.36e-02, 1, 3124946.783353
347500, 6.36e-02, 1, 3124946.783353
350000, 6.42e-02, 1, 3147430.732583
350000, 6.42e-02, 1, 3147430.732583
350000, 6.41e-02, 1, 3147430.732583
352500, 6.45e-02, 1, 3169914.682162
352500, 6.46e-02, 1, 3169914.682162
352500, 6.46e-02, 1, 3169914.682162
355000, 6.50e-02, 1, 3192398.632085
355000, 6.49e-02, 1, 3192398.632085
355000, 6.49e-02, 1, 3192398.632085
357500, 6.54e-02, 1, 3214882.582344
357500, 6.53e-02, 1, 3214882.582344
357500, 6.53e-02, 1, 3214882.582344
360000, 6.57e-02, 1, 3237366.532931
360000, 6.56e-02, 1, 3237366.532931
360000, 6.57e-02, 1, 3237366.532931
362500, 6.62e-02, 1, 3259850.483840
362500, 6.61e-02, 1, 3259850.483840
362500, 6.62e-02, 1, 3259850.483840
365000, 6.65e-02, 1, 3282334.435066
365000, 6.65e-02, 1, 3282334.435066
365000, 6.65e-02, 1, 3282334.435066
367500, 6.68e-02, 1, 3304818.386600
367500, 6.67e-02, 1, 3304818.386600
367500, 6.69e-02, 1, 3304818.386600
370000, 6.71e-02, 1, 3327302.338438
370000, 6.72e-02, 1, 3327302.338438
370000, 6.72e-02, 1, 3327302.338438
372500, 6.85e-02, 1, 3349786.290573
372500, 6.74e-02, 1, 3349786.290573
372500, 6.75e-02, 1, 3349786.290573
375000, 6.76e-02, 1, 3372270.242999
375000, 6.79e-02, 1, 3372270.242999
375000, 6.80e-02, 1, 3372270.242999
377500, 6.83e-02, 1, 3394754.195711
377500, 6.85e-02, 1, 3394754.195711
377500, 6.83e-02, 1, 3394754.195711
380000, 6.88e-02, 1, 3417238.148704
380000, 6.89e-02, 1, 3417238.148704
380000, 6.89e-02, 1, 3417238.148704
382500, 6.94e-02, 1, 3439722.101970
382500, 6.93e-02, 1, 3439722.101970
382500, 6.93e-02, 1, 3439722.101970
385000, 6.96e-02, 1, 3462206.055507
385000, 6.95e-02, 1, 3462206.055507
385000, 6.94e-02, 1, 3462206.055507
387500, 6.99e-02, 1, 3484690.009308
387500, 6.98e-02, 1, 3484690.009308
387500, 6.95e-02, 1, 3484690.009308
390000, 7.02e-02, 1, 3507173.963367
390000, 7.02e-02, 1, 3507173.963367
390000, 7.03e-02, 1, 3507173.963367
392500, 7.05e-02, 1, 3529657.917682
392500, 7.05e-02, 1, 3529657.917682
392500, 7.06e-02, 1, 3529657.917682
395000, 7.10e-02, 1, 3552141.872246
395000, 7.07e-02, 1, 3552141.872246
395000, 7.10e-02, 1, 3552141.872246
397500, 7.13e-02, 1, 3574625.827055
397500, 7.10e-02, 1, 3574625.827055
397500, 7.14e-02, 1, 3574625.827055
400000, 7.17e-02, 1, 3597109.782105
400000, 7.18e-02, 1, 3597109.782105
400000, 7.17e-02, 1, 3597109.782105
402500, 7.22e-02, 1, 3619593.737391
402500, 7.23e-02, 1, 3619593.737391
402500, 7.21e-02, 1, 3619593.737391
405000, 7.27e-02, 1, 3642077.692908
405000, 7.27e-02, 1, 3642077.692908
405000, 7.29e-02, 1, 3642077.692908
407500, 7.33e-02, 1, 3664561.648654
407500, 7.31e-02, 1, 3664561.648654
407500, 7.30e-02, 1, 3664561.648654
410000, 7.36e-02, 1, 3687045.604623
410000, 7.38e-02, 1, 3687045.604623
410000, 7.38e-02, 1, 3687045.604623
412500, 7.40e-02, 1, 3709529.560811
412500, 7.42e-02, 1, 3709529.560811
412500, 7.41e-02, 1, 3709529.560811
415000, 7.47e-02, 1, 3732013.517215
415000, 7.48e-02, 1, 3732013.517215
415000, 7.47e-02, 1, 3732013.517215
417500, 7.50e-02, 1, 3754497.473831
417500, 7.51e-02, 1, 3754497.473831
417500, 7.51e-02, 1, 3754497.473831
420000, 7.54e-02, 1, 3776981.430654
420000, 7.54e-02, 1, 3776981.430654
420000, 7.55e-02, 1, 3776981.430654
422500, 7.64e-02, 1, 3799465.387683
422500, 7.63e-02, 1, 3799465.387683
422500, 7.65e-02, 1, 3799465.387683
425000, 7.63e-02, 1, 3821949.344912
425000, 7.60e-02, 1, 3821949.344912
425000, 7.63e-02, 1, 3821949.344912
427500, 7.68e-02, 1, 3844433.302338
427500, 7.68e-02, 1, 3844433.302338
427500, 7.68e-02, 1, 3844433.302338
430000, 7.73e-02, 1, 3866917.259959
430000, 7.73e-02, 1, 3866917.259959
430000, 7.73e-02, 1, 3866917.259959
432500, 7.77e-02, 1, 3889401.217770
432500, 7.77e-02, 1, 3889401.217770
432500, 7.76e-02, 1, 3889401.217770
435000, 7.82e-02, 1, 3911885.175768
435000, 7.83e-02, 1, 3911885.175768
435000, 7.82e-02, 1, 3911885.175768
437500, 7.86e-02, 1, 3934369.133951
437500, 7.88e-02, 1, 3934369.133951
437500, 7.88e-02, 1, 3934369.133951
440000, 7.94e-02, 1, 3956853.092316
440000, 7.89e-02, 1, 3956853.092316
440000, 7.92e-02, 1, 3956853.092316
442500, 7.97e-02, 1, 3979337.050858
442500, 7.97e-02, 1, 3979337.050858
442500, 7.96e-02, 1, 3979337.050858
445000, 8.06e-02, 1, 4001821.009575
445000, 8.05e-02, 1, 4001821.009575
445000, 8.04e-02, 1, 4001821.009575
447500, 8.05e-02, 1, 4024304.968465
447500, 8.05e-02, 1, 4024304.968465
447500, 8.05e-02, 1, 4024304.968465
450000, 8.10e-02, 1, 4046788.927524
450000, 8.09e-02, 1, 4046788.927524
450000, 8.09e-02, 1, 4046788.927524
452500, 8.15e-02, 1, 4069272.886750
452500, 8.13e-02, 1, 4069272.886750
452500, 8.13e-02, 1, 4069272.886750
455000, 6.98e-02, 1, 4091296.025165
455000, 6.98e-02, 1, 4091296.025165
455000, 6.99e-02, 1, 4091296.025165
457500, 7.01e-02, 1, 4113777.326512
457500, 7.04e-02, 1, 4113777.326512
457500, 7.04e-02, 1, 4113777.326512
460000, 7.05e-02, 1, 4136258.627977
460000, 7.06e-02, 1, 4136258.627977
460000, 7.08e-02, 1, 4136258.627977
462500, 7.11e-02, 1, 4158739.929558
462500, 7.12e-02, 1, 4158739.929558
462500, 7.10e-02, 1, 4158739.929558
465000, 7.13e-02, 1, 4181221.231252
465000, 7.14e-02, 1, 4181221.231252
465000, 7.14e-02, 1, 4181221.231252
467500, 7.15e-02, 1, 4203702.533059
467500, 7.15e-02, 1, 4203702.533059
467500, 7.18e-02, 1, 4203702.533059
470000, 7.19e-02, 1, 4226183.834976
470000, 7.20e-02, 1, 4226183.834976
470000, 7.20e-02, 1, 4226183.834976
472500, 7.26e-02, 1, 4248665.137002
472500, 7.25e-02, 1, 4248665.137002
472500, 7.24e-02, 1, 4248665.137002
475000, 7.27e-02, 1, 4271146.439135
475000, 7.26e-02, 1, 4271146.439135
475000, 7.27e-02, 1, 4271146.439135
477500, 7.33e-02, 1, 4293627.741373
477500, 7.32e-02, 1, 4293627.741373
477500, 7.30e-02, 1, 4293627.741373
480000, 7.37e-02, 1, 4316109.043714
480000, 7.35e-02, 1, 4316109.043714
480000, 7.34e-02, 1, 4316109.043714
482500, 7.41e-02, 1, 4338590.346158
482500, 7.40e-02, 1, 4338590.346158
482500, 7.39e-02, 1, 4338590.346158
485000, 7.45e-02, 1, 4361071.648702
485000, 7.44e-02, 1, 4361071.648702
485000, 7.43e-02, 1, 4361071.648702
487500, 7.49e-02, 1, 4383552.951345
487500, 7.49e-02, 1, 4383552.951345
487500, 7.53e-02, 1, 4383552.951345
490000, 7.51e-02, 1, 4406034.254086
490000, 7.51e-02, 1, 4406034.254086
490000, 7.50e-02, 1, 4406034.254086
492500, 7.52e-02, 1, 4428515.556922
492500, 7.55e-02, 1, 4428515.556922
492500, 7.55e-02, 1, 4428515.556922
495000, 7.62e-02, 1, 4450996.859853
495000, 7.61e-02, 1, 4450996.859853
495000, 7.59e-02, 1, 4450996.859853
497500, 7.64e-02, 1, 4473478.162878
497500, 7.63e-02, 1, 4473478.162878
497500, 7.64e-02, 1, 4473478.162878
